company_name,cohort,rows_with_missing,missing_cells,distinct_missing_fields,missing_columns
UltraTech Cement Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Unity Infraprojects,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Vaibhav Global Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Visa Steel Limited,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Welspun India Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Winsome Diamonds and Jewellery,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Alok Industries Ltd,defaulter,3,40,20,auditor_name|capex|cash_and_equivalents|cff|cfi|cfo|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|net_cash_change|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
HCC (Hindustan Construction Co Ltd),defaulter,3,36,12,auditor_name|capex|cff|cfi|contingent_liabilities_amount|emphasis_of_matter|fraud_reported|going_concern_uncertainty|net_cash_change|pending_legal_cases_count|related_party_transactions_amount|rpt_count
Surya Pharmaceutical,defaulter,3,35,15,auditor_name|capex|cff|cfi|cfo|contingent_liabilities_amount|emphasis_of_matter|fraud_reported|going_concern_uncertainty|net_cash_change|opinion_type|pending_legal_cases_count|promoter_holding_pct|related_party_transactions_amount|rpt_count
Deccan Chronicle Holdings,defaulter,3,31,11,auditor_name|capex|contingent_liabilities_amount|emphasis_of_matter|fraud_reported|going_concern_uncertainty|opinion_type|pending_legal_cases_count|promoter_holding_pct|related_party_transactions_amount|rpt_count
C Mahendra Exports Limited,defaulter,3,30,10,auditor_name|capex|emphasis_of_matter|fraud_reported|going_concern_uncertainty|opinion_type|pending_legal_cases_count|promoter_holding_pct|related_party_transactions_amount|rpt_count
Elder Pharmaceuticals Ltd,defaulter,3,30,10,auditor_name|capex|emphasis_of_matter|fraud_reported|going_concern_uncertainty|opinion_type|pending_legal_cases_count|promoter_holding_pct|related_party_transactions_amount|rpt_count
Gammon India Ltd,defaulter,3,30,10,auditor_name|capex|emphasis_of_matter|fraud_reported|going_concern_uncertainty|opinion_type|pending_legal_cases_count|promoter_holding_pct|related_party_transactions_amount|rpt_count
Parekh Aluminex,defaulter,3,30,10,auditor_name|capex|emphasis_of_matter|fraud_reported|going_concern_uncertainty|opinion_type|pending_legal_cases_count|promoter_holding_pct|related_party_transactions_amount|rpt_count
Shree Ganesh Jewellery House,defaulter,3,30,10,auditor_name|capex|emphasis_of_matter|fraud_reported|going_concern_uncertainty|opinion_type|pending_legal_cases_count|promoter_holding_pct|related_party_transactions_amount|rpt_count
Varun Industries,defaulter,3,30,10,auditor_name|capex|emphasis_of_matter|fraud_reported|going_concern_uncertainty|opinion_type|pending_legal_cases_count|promoter_holding_pct|related_party_transactions_amount|rpt_count
Bhushan Steel Limited,defaulter,3,27,10,auditor_name|contingent_liabilities_amount|emphasis_of_matter|fraud_reported|going_concern_uncertainty|opinion_type|pending_legal_cases_count|promoter_holding_pct|related_party_transactions_amount|rpt_count
Gitanjali Gems Limited,defaulter,3,20,8,capex|emphasis_of_matter|fraud_reported|going_concern_uncertainty|opinion_type|pending_legal_cases_count|related_party_transactions_amount|rpt_count
Blue Dart Express Limited,non_defaulter,3,19,7,contingent_liabilities_amount|emphasis_of_matter|fraud_reported|going_concern_uncertainty|pending_legal_cases_count|related_party_transactions_amount|rpt_count
ABB India Limited,non_defaulter,3,18,6,emphasis_of_matter|fraud_reported|going_concern_uncertainty|pending_legal_cases_count|related_party_transactions_amount|rpt_count
DLF Limited,non_defaulter,3,18,6,emphasis_of_matter|fraud_reported|going_concern_uncertainty|pending_legal_cases_count|related_party_transactions_amount|rpt_count
Dabur India Limited,non_defaulter,3,18,6,emphasis_of_matter|fraud_reported|going_concern_uncertainty|pending_legal_cases_count|related_party_transactions_amount|rpt_count
Hindustan Unilever Limited,non_defaulter,3,18,6,emphasis_of_matter|fraud_reported|going_concern_uncertainty|pending_legal_cases_count|related_party_transactions_amount|rpt_count
Marico Limited,non_defaulter,3,18,6,emphasis_of_matter|fraud_reported|going_concern_uncertainty|pending_legal_cases_count|related_party_transactions_amount|rpt_count
Mawana Sugars Ltd,defaulter,3,18,6,emphasis_of_matter|fraud_reported|going_concern_uncertainty|pending_legal_cases_count|related_party_transactions_amount|rpt_count
PC Jeweller Ltd,defaulter,3,18,6,contingent_liabilities_amount|fraud_reported|going_concern_uncertainty|pending_legal_cases_count|related_party_transactions_amount|rpt_count
Bharat Heavy Electricals Limited,non_defaulter,3,17,6,emphasis_of_matter|fraud_reported|going_concern_uncertainty|pending_legal_cases_count|related_party_transactions_amount|rpt_count
Cochin Shipyard Limited,non_defaulter,3,16,6,emphasis_of_matter|fraud_reported|going_concern_uncertainty|pending_legal_cases_count|related_party_transactions_amount|rpt_count
Coal India Limited,non_defaulter,3,15,5,fraud_reported|going_concern_uncertainty|pending_legal_cases_count|related_party_transactions_amount|rpt_count
ABG Shipyard Ltd,defaulter,3,12,4,capex|pending_legal_cases_count|related_party_transactions_amount|rpt_count
