company_name,cin,financial_year,cohort,sector,target_wilful_default,debt_to_equity,debt_to_assets,ebitda_margin,pat_margin,roa,roe,ebitda_to_interest,cfo_to_assets,cfo_to_debt,cfo_to_ebitda,retained_earnings_to_assets,net_cash_change_to_assets,log_total_assets,log_revenue,revenue_growth_yoy,debt_growth_yoy,cfo_growth_yoy,asset_growth_yoy
Dabur India Limited,L24230UP1975PLC003919,2018,non_defaulter,FMCG / Foods,0,0.0678968535604447,0.0493720970239119,0.2677038626609442,0.1917024320457797,0.1844142439360055,0.2536077596404069,68.04545454545455,0.1403750215035265,2.843205574912892,0.5450901803607214,0.6968862893514537,0.0101496645449853,8.66785206770135,8.629092283913646,0.0568890568890568,0.0105633802816901,-0.1197411003236245,0.114241901475944
Deccan Chronicle Holdings,L22122TG2002PLC040110,2010,defaulter,Media,1,0.2721123043537015,0.1667340447812808,0.5380280112044817,0.2923473389355742,0.1270864891456292,0.2074069363518573,10.841950778956877,0.1946578084740561,1.167474877307782,0.8322747245881837,0.5891461163417092,0.112985792147446,7.6271012543435,6.794026513653794,,,,
Deccan Chronicle Holdings,L22122TG2002PLC040110,2011,defaulter,Media,1,0.5573374787132657,0.3230417459023816,0.3559559908211769,0.1665505654810687,0.0736122430498958,0.1270017341853234,5.888324012879174,0.0635289323553382,0.1966585841030456,0.4038046450053242,0.5575704065924115,0.0507787738839083,7.700114109613031,6.883626507403542,0.0937366946778711,1.0842194437952797,-0.648917803077693,0.0757443658095844
Deccan Chronicle Holdings,L22122TG2002PLC040110,2012,defaulter,Media,1,389.9000999000999,0.9253950753399486,-0.3921738245471198,-1.3235294117647058,-0.246683501084753,-103.93606393606396,-0.4200686760778329,0.0214626975376699,0.0231930103256552,-0.2936291682885688,-0.0075351803772332,-0.1631089139429289,8.347009669714401,6.667058568420338,-0.1947221766923454,4.470307090697577,-0.3548571021309957,0.9096033686498236
Dilip Buildcon Limited,L45201MP1987PLC003821,2014,non_defaulter,Infrastructure,0,1.822443181818182,0.4606822262118492,0.2059585492227979,0.0837651122625215,0.0696588868940754,0.2755681818181818,3.07741935483871,0.0201077199281867,0.0436477007014809,0.1174004192872117,0.2402154398563734,0.0053859964093357,7.932003152361385,7.747596838692885,,,,
Dilip Buildcon Limited,L45201MP1987PLC003821,2015,non_defaulter,Infrastructure,0,2.7697594501718212,0.5308452250274424,0.2179878048780487,0.055640243902439,0.03205268935236,0.1672394043528064,2.2084942084942085,0.0482985729967069,0.0909842845326716,0.3846153846153846,0.1659714599341383,0.0366630076838638,8.423980809694058,7.8724551500639794,0.1329879101899827,0.8846453624318005,2.9285714285714284,0.6355475763016158
Dilip Buildcon Limited,L45201MP1987PLC003821,2016,non_defaulter,Infrastructure,0,2.364406779661017,0.4752081756245269,0.2038567493112947,0.0553468569997495,0.0418243754731264,0.2080979284369115,2.136482939632546,0.0808099924299772,0.1700517722023098,0.5245700245700246,0.1788417865253595,-0.024224072672218,8.572438665642215,8.292298107063221,0.5217225609756098,0.0384615384615384,0.9409090909090908,0.1600439077936333
Dr Reddy's Laboratories Limited,L85195TG1984PLC004507,2015,non_defaulter,Pharma,0,0.293962760955426,0.1899611084103062,0.2611127759464589,0.1677155129357706,0.1020296548371414,0.1578897874741395,40.84375,0.1085318424890617,0.5713371721049264,0.6832440703902066,0.641042780748663,-0.0034030140982012,9.708445431332793,9.211439767419485,,,,
Dr Reddy's Laboratories Limited,L85195TG1984PLC004507,2016,non_defaulter,Pharma,0,0.2554230832919357,0.1754336081887972,0.2323163622230858,0.1335017489312087,0.0781347739550753,0.1137605563835072,37.359375,0.1562126812624396,0.8904376012965964,1.1488916771225428,0.6820017059994313,0.0076769974410008,9.774801544908083,9.239122173401634,0.0280691239636399,-0.0131158029430582,0.538073908174692,0.0686071949440933
Dr Reddy's Laboratories Limited,L85195TG1984PLC004507,2017,non_defaulter,Pharma,0,0.2029997414016033,0.1431872073934456,0.2403292181069959,0.1423868312757201,0.0841490849395026,0.1193000603396259,40.98245614035088,0.0617741837417158,0.4314225053078556,0.4349315068493151,0.7003100869459475,-0.008268985225269,9.707898368741269,9.181940897454483,-0.0555771472988729,-0.2366288492706645,-0.6301419730615216,-0.0647142450952516
