company_name,cin,financial_year,cohort,sector,target_wilful_default,debt_to_assets,ebitda_margin,pat_margin,roa,retained_earnings_to_assets,cfo_to_assets,cfo_to_ebitda,net_cash_change_to_assets,log_total_assets,log_revenue
Cochin Shipyard Limited,L63032KL1972GOI002414,2014,non_defaulter,Shipbuilding,0,0.1118178774690324,0.2658509454949944,0.1568409343715239,0.0944091061265483,0.4606628724472715,-0.1955138935386675,-1.2217573221757323,-0.099765651155005,8.00202481821611,7.494430215031565
Cochin Shipyard Limited,L63032KL1972GOI002414,2015,non_defaulter,Shipbuilding,0,0.0425458318920788,0.1054958938723941,0.0435881238155401,0.0238671739882393,0.49844344517468,0.2293324109304738,3.970059880239521,0.1535800760982359,7.969357742016346,7.367077059881012
Cochin Shipyard Limited,L63032KL1972GOI002414,2016,non_defaulter,Shipbuilding,0,0.036727381307853,0.2507537688442211,0.1467336683417085,0.0871902060316512,0.5108987757539564,0.0119438638399522,0.0801603206412825,0.0164228127799343,8.116417072794205,7.595889917718538
Cox & Kings Limited,L63040MH1939PLC011352,2016,defaulter,Travel / Aviation / Hospitality,1,0.2952038369304556,0.1204353932584269,0.0579353932584269,0.039568345323741,0.5860911270983213,0.0606714628297362,0.7376093294460642,0.0237410071942446,8.335671314792847,7.954372272531867
Cox & Kings Limited,L63040MH1939PLC011352,2017,defaulter,Travel / Aviation / Hospitality,1,0.2848579040852576,0.1190247032402951,0.0580686557587423,0.0401865008880994,0.6145648312611013,-0.0297513321492007,-0.3611859838274933,-0.008436944937833,8.412721169819527,8.044626279767337
Cox & Kings Limited,L63040MH1939PLC011352,2018,defaulter,Travel / Aviation / Hospitality,1,0.3660960795140806,0.1608844834159359,0.0670987418985894,0.0323946254371433,0.5378244064053009,-0.1172464568378428,-1.509478672985782,0.0139885882569482,8.600246746551523,7.872073979866873
DLF Limited,L70101DL1963PLC004462,2016,non_defaulter,Real Estate,0,0.3170863613317559,0.8862506902263942,0.413307564881281,0.0505999661990873,0.4651343586276829,0.02869697481832,0.2644859813084112,0.0010140273787392,10.295022755110796,8.19478163844336
DLF Limited,L70101DL1963PLC004462,2017,non_defaulter,Real Estate,0,0.3167015341701534,0.5981636510937078,0.1612206319200648,0.0208158995815899,0.5002440725244073,-0.0242677824267782,-0.3142212189616253,-0.0045327754532775,10.263955294713556,8.216898580913613
DLF Limited,L70101DL1963PLC004462,2018,non_defaulter,Real Estate,0,0.1732175918900051,0.556282722513089,0.1194371727748691,0.0110783986402403,0.7004583118341579,0.000940905089993,0.018235294117647,0.0025191974990135,10.40265548874465,8.024862150286411
Dabur India Limited,L24230UP1975PLC003919,2016,non_defaulter,FMCG / Foods,0,0.0196388261851015,0.2419475655430711,0.1754681647940074,0.2115124153498871,0.6586907449209932,0.2167042889390519,0.7430340557275542,0.0024830699774266,8.39615486303918,8.582980931954241
Dabur India Limited,L24230UP1975PLC003919,2017,non_defaulter,FMCG / Foods,0,0.0544374161395438,0.2617652617652617,0.1886221886221886,0.1912976806593828,0.6674333908376462,0.1776883266244968,0.6693140794223826,-0.0049837071113666,8.559677803022392,8.57376254290413
Dabur India Limited,L24230UP1975PLC003919,2018,non_defaulter,FMCG / Foods,0,0.0493720970239119,0.2677038626609442,0.1917024320457797,0.1844142439360055,0.6968862893514537,0.1403750215035265,0.5450901803607214,0.0101496645449853,8.66785206770135,8.629092283913646
Deccan Chronicle Holdings,L22122TG2002PLC040110,2010,defaulter,Media,1,0.1667340447812808,0.5380280112044817,0.2923473389355742,0.1270864891456292,0.5891461163417092,0.1946578084740561,0.8322747245881837,0.112985792147446,7.6271012543435,6.794026513653794
Deccan Chronicle Holdings,L22122TG2002PLC040110,2011,defaulter,Media,1,0.3230417459023816,0.3559559908211769,0.1665505654810687,0.0736122430498958,0.5575704065924115,0.0635289323553382,0.4038046450053242,0.0507787738839083,7.700114109613031,6.883626507403542
Deccan Chronicle Holdings,L22122TG2002PLC040110,2012,defaulter,Media,1,0.9253950753399486,-0.3921738245471198,-1.3235294117647058,-0.246683501084753,-0.0075351803772332,0.0214626975376699,-0.2936291682885688,-0.1631089139429289,8.347009669714401,6.667058568420338
Dilip Buildcon Limited,L45201MP1987PLC003821,2014,non_defaulter,Infrastructure,0,0.4606822262118492,0.2059585492227979,0.0837651122625215,0.0696588868940754,0.2402154398563734,0.0201077199281867,0.1174004192872117,0.0053859964093357,7.932003152361385,7.747596838692885
Dilip Buildcon Limited,L45201MP1987PLC003821,2015,non_defaulter,Infrastructure,0,0.5308452250274424,0.2179878048780487,0.055640243902439,0.03205268935236,0.1659714599341383,0.0482985729967069,0.3846153846153846,0.0366630076838638,8.423980809694058,7.8724551500639794
Dilip Buildcon Limited,L45201MP1987PLC003821,2016,non_defaulter,Infrastructure,0,0.4752081756245269,0.2038567493112947,0.0553468569997495,0.0418243754731264,0.1788417865253595,0.0808099924299772,0.5245700245700246,-0.024224072672218,8.572438665642215,8.292298107063221
Dr Reddy's Laboratories Limited,L85195TG1984PLC004507,2015,non_defaulter,Pharma,0,0.1899611084103062,0.2611127759464589,0.1677155129357706,0.1020296548371414,0.641042780748663,0.1085318424890617,0.6832440703902066,-0.0034030140982012,9.708445431332793,9.211439767419485
Dr Reddy's Laboratories Limited,L85195TG1984PLC004507,2016,non_defaulter,Pharma,0,0.1754336081887972,0.2323163622230858,0.1335017489312087,0.0781347739550753,0.6820017059994313,0.1562126812624396,1.1488916771225428,0.0076769974410008,9.774801544908083,9.239122173401634
Dr Reddy's Laboratories Limited,L85195TG1984PLC004507,2017,non_defaulter,Pharma,0,0.1431872073934456,0.2403292181069959,0.1423868312757201,0.0841490849395026,0.7003100869459475,0.0617741837417158,0.4349315068493151,-0.008268985225269,9.707898368741269,9.181940897454483
Elder Pharmaceuticals Ltd,L24239MH1983PLC029714,2012,defaulter,Pharma,1,0.4554930760525917,0.2299810092516426,0.0853771237648396,0.0490392804227866,0.3915151020217693,0.0113629735058389,0.0860196061114545,-0.0713627401798943,7.446783445880112,6.892326870824918
Elder Pharmaceuticals Ltd,L24239MH1983PLC029714,2013,defaulter,Pharma,1,0.4402892814607174,0.2394615197469791,0.07601978752737,0.0424502882399025,0.3429262350389225,-0.0121545310044696,-0.0908967759414792,-0.0187933322162999,7.699946568638683,7.117286602876485
Elder Pharmaceuticals Ltd,L24239MH1983PLC029714,2014,defaulter,Pharma,1,0.2813557395764993,-0.1509297371088175,0.0163815748650381,0.0040913951554161,0.3952070752207132,0.5958300831193789,-15.80635877757983,0.2327497584940359,7.568260459126154,6.180989265398516
Era Infra Engineering,L74899DL1990PLC041350,2015,defaulter,Infrastructure,1,0.746736583733125,0.1177856301531213,-0.3869257950530035,-0.0733013499944215,0.0871360035702331,0.0276693071516233,1.24,0.0042396519022648,9.100860271357362,7.437206366871292
Era Infra Engineering,L74899DL1990PLC041350,2016,defaulter,Infrastructure,1,0.8515579414167347,-0.3047068538398018,-1.0867052023121386,-0.1535768467732524,-0.0618508577430271,0.0618508577430271,-1.4363143631436317,-0.0026840938265841,9.055906318669118,7.099201743553092
Era Infra Engineering,L74899DL1990PLC041350,2017,defaulter,Infrastructure,1,0.955361534677816,-0.1684558216350123,-1.069364161849711,-0.1592474176094441,-0.2241760944417117,0.0316035415641908,-1.2598039215686274,-0.0013526807673389,9.003562174748238,7.099201743553092
First Leasing Co of India,L65910TN1973PLC006423,2011,defaulter,NBFC / Leasing,1,0.7208153180975911,0.9310344827586208,0.3060344827586206,0.0438542310067943,0.1754169240271772,-0.0938851142680667,-0.7037037037037037,0.0055589870290302,7.389563953677635,5.44673737166631
First Leasing Co of India,L65910TN1973PLC006423,2012,defaulter,NBFC / Leasing,1,0.7333333333333333,0.95260663507109,0.1516587677725118,0.0180790960451977,0.1757062146892655,-0.0813559322033898,-0.7164179104477612,-0.0062146892655367,7.478734825567875,5.351858133476067
